chr	pos	context	samples_called	FALLOPIA_HP_7	FALLOPIA_CMM_116	FALLOPIA_CMR_265	FALLOPIA_RHBH_363	FALLOPIA_CBH_433	FALLOPIA_PJB_459	FALLOPIA_HP_11	FALLOPIA_CMM_118	FALLOPIA_WH_294	FALLOPIA_RHBH_367	FALLOPIA_CBH_437	FALLOPIA_PJB_461	FALLOPIA_CBH_123	FALLOPIA_RHC_305	FALLOPIA_OLCT_397	FALLOPIA_CBH_441	FALLOPIA_CMR_479	FALLOPIA_RHC_309	FALLOPIA_HBCT_403	FALLOPIA_WH_443	FALLOPIA_CMR_481	FALLOPIA_PJB_179	FALLOPIA_RHC_323	FALLOPIA_HBCT_405	FALLOPIA_WH_447	FALLOPIA_MSH_489	FALLOPIA_PJB_181	FALLOPIA_RHC_333	FALLOPIA_HBCT_407	FALLOPIA_WH_449	FALLOPIA_HP_499	FALLOPIA_ST_69	FALLOPIA_RPB_205	FALLOPIA_RHBH_341	FALLOPIA_CBH_421	FALLOPIA_PJB_455	FALLOPIA_MSH_493	FALLOPIA_CMM_114	FALLOPIA_RPB_233	FALLOPIA_RHBH_349	FALLOPIA_CBH_423	FALLOPIA_PJB_457
1	12	CHG	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689102564102564	0	0.192307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	35	CHG	46	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	44	CHH	46	0	0	0	0	0	0	0	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	63	CHG	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126915708812261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0
1	68	CHH	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0
1	77	CHH	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0
1	87	CHH	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0
1	93	CHH	46	0	0	0	0	0	0	0.230769230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14915581232493	0	0	0	0
1	113	CHH	47	0	0	0	0	0	0	0.214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	119	CHH	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	120	CHH	47	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	122	CHH	47	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	124	CHH	47	0	0	0	0	0	0	0	0	0	0	0	0	0.0858258980821612	0.0919355605708671	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0911560904253384	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625
1	125	CHG	47	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	127	CHG	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032258064516129	0	0	0	0	0	0
1	132	CHH	47	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0.0392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0
1	135	CHH	47	0	0	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	137	CHH	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0
1	140	CHH	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108784893267652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
1	144	CHH	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	155	CHH	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125
1	174	CHH	47	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	182	CHG	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
